index,season,date,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,a_possession,h_possession (in percent),h_possession,a_possession (in percent),h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners
972,17-18,Feb 10 2018,20,Silkeborg,AaB,3,2,1,0,12,8,113.21,111.98,0.62,38,0.38,62,7,8,10,11,0,0,1,2,3,5
973,17-18,Feb 10 2018,20,København,Randers,5,1,4,1,8,13,110.18,109.17,0.45,55,0.55,45,2,14,21,13,0,0,1,1,5,0
974,17-18,Feb 11 2018,20,OB,FC Helsingør,6,1,3,0,18,8,112.81,113.33,0.47,53,0.53,47,6,9,16,10,0,0,3,0,10,3
975,17-18,Feb 11 2018,20,Sønderjyske,Nordsjælland,2,1,0,1,12,8,109.16,114.21,0.51,49,0.49,51,14,10,23,27,0,0,2,1,5,3
976,17-18,Feb 11 2018,20,Lyngby,Brøndby,1,3,0,2,7,19,108.35,109.33,0.55,45,0.45,55,8,18,16,14,0,0,2,2,6,4
977,17-18,Feb 12 2018,20,Hobro,AGF,0,1,0,0,8,14,114.5,113.18,0.51,49,0.49,51,12,14,14,18,0,0,1,2,8,5
978,17-18,Feb 16 2018,21,Nordsjælland,OB,2,1,2,0,14,9,108.38,107.93,0.54,46,0.46,54,10,7,10,18,0,0,2,1,2,6
979,17-18,Feb 17 2018,21,Silkeborg,Lyngby,1,1,0,0,17,6,109.98,108.89,0.46,54,0.54,46,6,9,14,8,0,0,0,1,0,2
980,17-18,Feb 18 2018,21,FC Helsingør,Horsens,0,2,0,0,14,12,110.44,111.36,0.44,56,0.56,44,4,15,19,18,0,0,1,4,7,7
981,17-18,Feb 18 2018,21,Randers,Hobro,0,0,0,0,8,8,112.42,117.65,0.5,50,0.5,50,5,11,18,20,0,0,1,3,7,4
982,17-18,Feb 18 2018,21,Midtjylland,København,3,1,2,1,14,11,111.36,113.53,0.56,44,0.44,56,15,10,8,15,0,0,1,3,0,2
983,17-18,Feb 18 2018,21,AaB,Brøndby,1,1,0,0,8,13,103.64,114.4,0.45,55,0.55,45,12,17,16,6,0,1,2,4,5,3
984,17-18,Feb 19 2018,21,AGF,Sønderjyske,0,0,0,0,10,7,111.84,111.75,0.48,52,0.52,48,9,12,16,8,0,0,3,2,4,5
985,17-18,Feb 23 2018,22,Horsens,Randers,1,1,1,1,9,7,119.25,116,0.42,58,0.58,42,18,10,11,18,0,0,1,2,2,8
986,17-18,Feb 24 2018,22,Lyngby,AGF,0,0,0,0,12,13,121.35,112.52,0.53,47,0.47,53,15,10,15,17,0,0,1,2,1,4
987,17-18,Feb 25 2018,22,Hobro,Midtjylland,1,2,0,1,11,9,119.3,113.12,0.57,43,0.43,57,19,15,10,7,0,1,2,3,0,1
988,17-18,Feb 25 2018,22,AaB,Nordsjælland,1,1,0,1,7,14,112.08,117.75,0.54,46,0.46,54,13,11,11,4,0,1,1,2,8,1
989,17-18,Feb 25 2018,22,Brøndby,FC Helsingør,6,1,3,0,20,12,116.31,113.01,0.4,60,0.6,40,11,6,10,18,0,0,2,2,6,5
990,17-18,Feb 25 2018,22,København,OB,1,0,0,0,11,7,109.3,107.38,0.47,53,0.53,47,9,11,16,16,0,0,3,0,3,3
991,17-18,Feb 26 2018,22,Sønderjyske,Silkeborg,0,1,0,1,20,5,111.94,111.14,0.45,55,0.55,45,14,9,14,19,0,1,2,3,3,6
992,17-18,Feb 27 2018,23,Horsens,AGF,1,1,0,1,9,12,117.26,117.9,0.46,54,0.54,46,18,11,9,14,0,0,2,3,5,0
993,17-18,Feb 28 2018,23,Randers,FC Helsingør,0,0,0,0,7,13,115.69,114.1,0.39,61,0.61,39,14,10,16,15,0,0,0,1,1,4
994,17-18,Feb 28 2018,23,OB,Lyngby,3,1,2,1,15,6,114.34,110.96,0.44,56,0.56,44,12,15,5,14,0,0,1,3,4,10
995,17-18,Feb 28 2018,23,Hobro,København,0,2,0,2,10,13,111.23,115.22,0.6,40,0.4,60,15,8,23,24,0,0,2,0,4,4
996,17-18,Mar 01 2018,23,Nordsjælland,Silkeborg,3,1,1,1,26,9,110.28,113.41,0.4,60,0.6,40,8,6,15,12,0,1,0,0,2,6
997,17-18,Mar 01 2018,23,Sønderjyske,AaB,0,1,0,1,12,6,111.28,115.63,0.36,64,0.64,36,15,11,21,14,0,1,3,4,1,4
998,17-18,Mar 01 2018,23,Midtjylland,Brøndby,0,1,0,1,8,16,114.21,111.68,0.51,49,0.49,51,11,14,19,10,0,0,1,3,7,3
999,17-18,Mar 03 2018,24,Lyngby,Hobro,0,3,0,1,9,14,108.79,110.44,0.47,53,0.53,47,16,13,16,15,0,0,1,2,7,4
1000,17-18,Mar 04 2018,24,FC Helsingør,Sønderjyske,1,2,1,2,9,9,110.75,101.89,0.41,59,0.59,41,11,12,15,14,0,0,2,1,4,1
1001,17-18,Mar 04 2018,24,Randers,Nordsjælland,0,3,0,1,8,15,115.58,123.22,0.57,43,0.43,57,15,7,24,7,0,0,0,1,8,1
1002,17-18,Mar 04 2018,24,AGF,København,0,1,0,0,9,11,112.96,112.44,0.44,56,0.56,44,10,7,10,9,0,0,0,2,6,5
1003,17-18,Mar 04 2018,24,Brøndby,OB,2,1,1,0,14,6,112.14,109.92,0.49,51,0.51,49,15,10,14,13,0,0,0,2,5,3
1004,17-18,Mar 05 2018,24,AaB,Horsens,1,1,0,0,14,12,112.44,111.04,0.46,54,0.54,46,8,14,14,13,0,0,1,3,3,6
1005,17-18,Mar 05 2018,24,Silkeborg,Midtjylland,1,2,0,2,2,18,110.11,114.57,0.53,47,0.47,53,6,8,17,9,0,0,0,1,6,9
1006,17-18,Mar 09 2018,25,OB,AGF,0,1,0,1,10,14,115.97,113.19,0.42,58,0.58,42,8,14,10,20,0,0,2,3,4,5
1007,17-18,Mar 10 2018,25,Hobro,Silkeborg,1,1,0,0,15,12,118.72,116.17,0.5,50,0.5,50,11,11,12,12,0,0,1,1,3,6
1008,17-18,Mar 11 2018,25,Sønderjyske,Lyngby,1,0,1,0,14,17,115.74,115.61,0.51,49,0.49,51,13,14,13,13,1,0,3,3,3,6
1009,17-18,Mar 11 2018,25,AaB,Randers,4,0,2,0,13,6,113.63,116.55,0.48,52,0.52,48,10,15,15,12,0,1,1,4,6,9
1010,17-18,Mar 11 2018,25,Nordsjælland,Midtjylland,1,1,1,0,14,7,111.38,111.3,0.44,56,0.56,44,8,13,21,6,0,0,0,2,7,3
1011,17-18,Mar 11 2018,25,Horsens,Brøndby,1,1,0,1,5,14,116.2,118.01,0.58,42,0.42,58,12,9,20,21,0,0,5,1,3,5
1012,17-18,Mar 12 2018,25,København,FC Helsingør,4,3,3,1,11,16,115.67,116.71,0.48,52,0.52,48,6,10,15,17,0,0,2,1,3,5
1013,17-18,Mar 18 2018,26,Brøndby,Hobro,2,1,0,0,23,13,108.48,108.9,0.42,58,0.58,42,13,11,15,14,0,0,2,2,4,3
1014,17-18,Mar 18 2018,26,FC Helsingør,Nordsjælland,1,0,0,0,14,9,109.09,111.06,0.44,56,0.56,44,12,12,15,19,0,0,1,1,8,11
1015,17-18,Mar 18 2018,26,Midtjylland,Sønderjyske,2,1,1,0,16,8,116.95,115.62,0.5,50,0.5,50,12,11,13,13,0,0,2,2,3,9
1016,17-18,Mar 18 2018,26,AGF,AaB,0,0,0,0,19,4,115.15,117.08,0.49,51,0.51,49,16,9,22,11,0,0,1,2,8,6
1017,17-18,Mar 18 2018,26,Lyngby,Horsens,1,1,0,0,11,14,115.33,115.62,0.39,61,0.61,39,6,13,17,22,0,0,1,4,3,6
1018,17-18,Mar 18 2018,26,Silkeborg,København,1,3,1,2,8,17,117.96,116.85,0.6,40,0.4,60,14,7,13,10,0,0,1,1,4,5
1019,17-18,Mar 18 2018,26,Randers,OB,4,1,0,1,14,14,114.55,119.88,0.58,42,0.42,58,10,5,17,7,0,0,3,4,2,6
1020,17-18,Mar 31 2018,1,Silkeborg,FC Helsingør,2,3,2,1,18,12,109.16,109.77,0.39,61,0.61,39,11,9,15,13,0,0,2,2,3,5
1021,17-18,Apr 01 2018,1,Hobro,AGF,1,3,1,0,11,11,118.26,115.52,0.5,50,0.5,50,16,15,9,17,0,0,3,1,5,3
1022,17-18,Apr 01 2018,1,Randers,Lyngby,2,0,2,0,16,6,118.62,117.08,0.46,54,0.54,46,15,10,18,12,0,1,1,1,4,5
1023,17-18,Apr 02 2018,1,OB,Sønderjyske,2,1,2,0,12,11,117.03,113.64,0.53,47,0.47,53,6,13,11,18,0,0,1,0,4,5
1024,17-18,Apr 02 2018,1,København,Nordsjælland,2,1,0,1,19,12,114.73,118.02,0.4,60,0.6,40,5,7,11,8,0,1,0,1,6,3
1025,17-18,Apr 02 2018,1,AaB,Brøndby,0,3,0,3,10,8,117,114.39,0.5,50,0.5,50,3,11,12,8,1,0,2,2,5,6
1026,17-18,Apr 03 2018,1,Horsens,Midtjylland,0,1,0,0,5,6,109.56,112.62,0.52,48,0.48,52,11,15,18,12,0,0,0,2,5,3
1027,17-18,Apr 06 2018,2,Nordsjælland,AaB,3,1,2,1,13,10,117.12,112.88,0.5,50,0.5,50,18,6,12,11,0,0,2,2,1,5
1028,17-18,Apr 07 2018,2,Lyngby,OB,2,2,1,0,6,17,105.93,107.43,0.62,38,0.38,62,11,6,7,10,0,0,3,0,9,3
1029,17-18,Apr 08 2018,2,FC Helsingør,Hobro,0,1,0,0,14,17,115.82,123.43,0.39,61,0.61,39,12,12,10,10,0,1,2,3,4,3
1030,17-18,Apr 08 2018,2,Sønderjyske,Randers,1,0,1,0,5,13,117.29,112.37,0.58,42,0.42,58,11,13,8,19,0,0,2,3,0,2
1031,17-18,Apr 08 2018,2,Brøndby,Horsens,5,1,3,0,15,7,112.55,116.21,0.47,53,0.53,47,12,15,13,18,0,0,1,0,3,4
1032,17-18,Apr 08 2018,2,AGF,Silkeborg,2,1,1,0,13,8,117.01,110.94,0.47,53,0.53,47,10,13,10,14,0,0,1,2,3,4
1033,17-18,Apr 09 2018,2,Midtjylland,København,3,2,0,1,15,19,115.02,113.97,0.61,39,0.39,61,12,7,19,15,0,0,4,0,8,5
1034,17-18,Apr 13 2018,3,AGF,FC Helsingør,2,1,1,0,13,10,110.82,116.08,0.52,48,0.48,52,5,10,24,16,0,0,1,0,1,4
1035,17-18,Apr 14 2018,3,Sønderjyske,Lyngby,1,0,0,0,17,10,108.85,112.56,0.58,42,0.42,58,8,12,12,11,0,0,1,3,5,2
1036,17-18,Apr 15 2018,3,OB,Randers,3,0,1,0,17,12,107.77,108.89,0.48,52,0.52,48,9,13,17,27,0,0,2,2,11,2
1037,17-18,Apr 15 2018,3,AaB,Horsens,2,0,0,0,8,8,112.58,114.78,0.49,51,0.51,49,11,17,4,12,0,0,2,2,10,2
1038,17-18,Apr 15 2018,3,Brøndby,København,2,1,0,1,22,13,104.78,107.25,0.43,57,0.57,43,8,15,18,25,0,0,4,4,1,6
1039,17-18,Apr 15 2018,3,Nordsjælland,Midtjylland,1,2,0,1,14,5,104.94,100.78,0.47,53,0.53,47,15,14,16,15,1,0,4,1,3,5
1040,17-18,Apr 16 2018,3,Hobro,Silkeborg,1,0,1,0,15,7,116.32,116.44,0.52,48,0.48,52,12,15,15,19,0,0,2,2,3,4
1041,17-18,Apr 17 2018,4,FC Helsingør,AGF,1,0,1,0,18,12,121.09,114.28,0.52,48,0.48,52,11,5,9,11,0,0,4,0,6,5
1042,17-18,Apr 18 2018,4,Randers,OB,1,1,0,0,14,16,114.93,112.76,0.56,44,0.44,56,12,8,13,17,0,0,0,2,5,1
1043,17-18,Apr 18 2018,4,Horsens,Nordsjælland,2,2,1,1,15,11,116.85,117.81,0.56,44,0.44,56,13,8,15,13,0,0,2,3,4,1
1044,17-18,Apr 18 2018,4,København,AaB,2,1,1,1,15,9,108.83,113.51,0.42,58,0.58,42,6,16,15,10,0,0,1,2,4,3
1045,17-18,Apr 19 2018,4,Silkeborg,Hobro,2,0,0,0,18,14,107.7,101.79,0.37,63,0.63,37,11,8,17,22,0,0,1,1,2,4
1046,17-18,Apr 19 2018,4,Lyngby,Sønderjyske,1,1,0,0,7,15,124.64,128.61,0.55,45,0.45,55,12,12,9,11,1,0,3,5,9,1
1047,17-18,Apr 19 2018,4,Midtjylland,Brøndby,2,3,2,1,12,16,113.39,113.27,0.62,38,0.38,62,18,8,14,11,0,0,3,1,6,6
1048,17-18,Apr 21 2018,5,København,Horsens,4,1,3,0,16,18,114.55,113.5,0.48,52,0.52,48,6,10,12,16,0,0,0,3,3,0
1049,17-18,Apr 22 2018,5,FC Helsingør,Silkeborg,0,0,0,0,4,8,108.81,106.88,0.51,49,0.49,51,12,8,17,16,0,0,2,2,4,5
1050,17-18,Apr 22 2018,5,OB,Lyngby,3,0,2,0,19,9,113.26,106.82,0.44,56,0.56,44,12,15,14,10,0,0,2,2,9,1
1051,17-18,Apr 22 2018,5,AaB,Midtjylland,3,3,2,1,9,17,116.87,115.27,0.57,43,0.43,57,12,14,17,17,0,0,3,4,4,2
1052,17-18,Apr 22 2018,5,Randers,Sønderjyske,3,0,2,0,13,6,115.94,108.51,0.48,52,0.52,48,16,7,10,16,0,0,2,2,3,1
1053,17-18,Apr 22 2018,5,Nordsjælland,Brøndby,3,4,1,3,18,23,108.42,115.52,0.44,56,0.56,44,6,6,15,16,0,0,1,0,1,4
1054,17-18,Apr 23 2018,5,AGF,Hobro,0,1,0,0,16,20,110.62,112.72,0.47,53,0.53,47,9,5,19,10,0,0,3,2,6,2
1055,17-18,Apr 27 2018,6,Horsens,København,2,3,1,2,11,14,117.68,121.45,0.54,46,0.46,54,19,7,17,18,1,0,0,0,5,6
1056,17-18,Apr 29 2018,6,Sønderjyske,OB,2,0,0,0,8,13,118.68,119.7,0.6,40,0.4,60,9,6,9,13,0,0,1,1,4,5
1057,17-18,Apr 29 2018,6,Lyngby,Randers,1,3,0,1,9,10,115.85,109.81,0.42,58,0.58,42,7,11,8,13,0,0,1,0,6,6
1058,17-18,Apr 29 2018,6,Midtjylland,AaB,3,0,2,0,18,7,109.01,109.17,0.36,64,0.64,36,10,7,12,12,0,0,0,2,9,4
1059,17-18,Apr 29 2018,6,Brøndby,Nordsjælland,3,1,1,1,16,12,112.63,110.72,0.51,49,0.49,51,12,6,14,13,0,0,1,0,6,4
1060,17-18,Apr 30 2018,6,Hobro,FC Helsingør,4,1,2,1,17,15,106.15,109.26,0.48,52,0.52,48,11,13,14,6,0,0,1,1,4,5
1061,17-18,Apr 30 2018,6,Silkeborg,AGF,2,5,1,3,11,19,119.44,122.15,0.49,51,0.51,49,7,9,12,16,0,0,3,0,6,3
1062,17-18,May 04 2018,7,Horsens,AaB,2,1,0,1,12,7,119.48,115.69,0.5,50,0.5,50,14,10,18,11,0,0,2,1,5,9
1063,17-18,May 06 2018,7,AGF,OB,3,2,1,2,9,16,125.53,117.11,0.61,39,0.39,61,15,8,7,7,0,0,2,1,1,11
1064,17-18,May 06 2018,7,København,Brøndby,1,1,1,1,13,11,116.18,112.29,0.4,60,0.6,40,10,11,16,11,0,0,0,3,7,3
1065,17-18,May 06 2018,7,Sønderjyske,Hobro,1,0,0,0,14,11,108.41,104.72,0.51,49,0.49,51,16,9,22,15,0,0,1,2,5,3
1066,17-18,May 07 2018,7,Midtjylland,Nordsjælland,2,1,1,0,12,13,109.94,113.51,0.57,43,0.43,57,12,7,12,16,0,0,0,1,4,4
1067,17-18,May 11 2018,8,Nordsjælland,Horsens,2,1,1,0,12,17,109.55,115.45,0.51,49,0.49,51,12,11,12,16,0,0,2,1,3,5
1068,17-18,May 13 2018,8,Hobro,Sønderjyske,3,2,0,1,15,9,110.4,109.63,0.43,57,0.57,43,9,14,15,11,0,0,3,2,4,6
1069,17-18,May 13 2018,8,OB,AGF,2,3,0,1,21,7,110.44,99.54,0.3,70,0.7,30,9,17,14,8,0,0,1,5,3,3
1070,17-18,May 13 2018,8,AaB,København,1,0,0,0,8,9,112.63,110.49,0.54,46,0.46,54,16,5,13,13,0,0,3,5,7,3
1071,17-18,May 14 2018,8,Brøndby,Midtjylland,0,1,0,0,13,11,117.41,110.1,0.46,54,0.54,46,10,13,10,11,0,0,1,3,5,5
1072,17-18,May 18 2018,9,København,Midtjylland,0,2,0,1,15,5,115.26,114.91,0.3,70,0.7,30,6,19,17,18,0,0,0,4,3,2
1073,17-18,May 18 2018,9,AaB,Nordsjælland,0,0,0,0,5,7,114.65,117.59,0.47,53,0.53,47,9,16,17,12,0,0,0,3,5,6
1074,17-18,May 18 2018,9,Horsens,Brøndby,2,2,0,2,14,21,117.69,114.48,0.54,46,0.46,54,12,10,18,12,0,0,2,2,1,6
1075,17-18,May 19 2018,9,AGF,Sønderjyske,2,2,1,0,18,8,115.77,112.32,0.46,54,0.54,46,6,15,16,17,0,0,1,4,2,7
1076,17-18,May 21 2018,10,Brøndby,AaB,1,1,0,1,19,12,110.91,110.8,0.37,63,0.63,37,9,14,20,22,0,0,1,2,3,4
1077,17-18,May 21 2018,10,Nordsjælland,København,0,0,0,0,7,18,115.3,111.48,0.65,35,0.35,65,11,5,16,17,0,0,1,2,7,4
1078,17-18,May 21 2018,10,Midtjylland,Horsens,1,0,0,0,12,7,115.07,119.83,0.49,51,0.51,49,9,21,8,11,0,0,0,2,9,5
1079,17-18,May 22 2018,10,Sønderjyske,AGF,0,2,0,1,19,10,115.8,111.35,0.42,58,0.58,42,11,14,18,11,0,1,1,4,6,4
1080,17-18,May 25 2018,10,København,AGF,4,1,2,1,11,10,115.75,110.08,0.41,59,0.59,41,7,8,13,13,0,0,1,3,2,4
1081,18-19,Jul 13 2018,1,Vejle,Hobro,3,1,0,0,13,12,113.01,110.86,0.44,56,0.56,44,16,12,22,13,0,0,3,3,4,3
1082,18-19,Jul 13 2018,1,Sønderjyske,AaB,0,1,0,0,12,10,110.44,117.22,0.5,50,0.5,50,16,14,14,14,0,0,2,2,9,3
1083,18-19,Jul 14 2018,1,Midtjylland,AGF,0,0,0,0,11,9,120.93,122.66,0.38,62,0.62,38,14,9,10,9,0,0,3,1,3,8
1084,18-19,Jul 15 2018,1,Nordsjælland,Esbjerg,1,1,1,0,14,8,114.23,116.84,0.42,58,0.58,42,8,12,19,14,0,0,3,3,1,3
1085,18-19,Jul 15 2018,1,Vendsyssel,OB,3,2,0,0,7,12,109.45,109.21,0.58,42,0.42,58,14,12,19,14,1,0,2,3,6,6
1086,18-19,Jul 16 2018,1,København,Horsens,1,2,0,0,14,6,115.99,113.35,0.35,65,0.65,35,9,24,12,13,0,0,3,5,3,6
1087,18-19,Jul 16 2018,1,Randers,Brøndby,0,2,0,1,7,10,108.67,111.79,0.54,46,0.46,54,13,10,17,15,0,0,2,2,5,2
1088,18-19,Jul 20 2018,2,AaB,Midtjylland,2,1,0,1,5,7,113.39,110.08,0.58,42,0.42,58,10,19,12,13,0,0,1,4,2,4
1089,18-19,Jul 21 2018,2,Esbjerg,Vendsyssel,2,3,0,2,17,11,111.55,111.47,0.45,55,0.55,45,8,7,16,6,0,0,0,4,8,2
1090,18-19,Jul 22 2018,2,Horsens,Randers,1,1,0,1,8,7,122.31,119.34,0.37,63,0.63,37,7,9,13,9,0,0,2,4,6,2
1091,18-19,Jul 22 2018,2,OB,Sønderjyske,2,2,0,2,16,10,114.38,112.83,0.42,58,0.58,42,8,14,10,9,0,0,1,2,7,6
1092,18-19,Jul 22 2018,2,AGF,Nordsjælland,1,1,0,1,13,11,117.27,113.07,0.53,47,0.47,53,5,6,14,15,0,0,1,1,2,4
1093,18-19,Jul 22 2018,2,Brøndby,Vejle,1,1,1,1,10,11,115.47,119.57,0.4,60,0.6,40,4,11,17,16,0,0,1,2,9,3
1094,18-19,Jul 23 2018,2,Hobro,København,0,3,0,1,7,13,116.79,112.06,0.68,32,0.32,68,11,9,20,9,0,0,2,0,0,12
1095,18-19,Jul 27 2018,3,Sønderjyske,Horsens,2,0,0,0,9,10,108.06,110.55,0.4,60,0.6,40,12,13,17,9,0,0,3,3,3,6
1096,18-19,Jul 28 2018,3,Midtjylland,Esbjerg,3,1,2,1,14,7,115.79,112.22,0.58,42,0.42,58,16,17,15,20,0,0,1,2,2,2
1097,18-19,Jul 29 2018,3,Nordsjælland,Vendsyssel,3,0,1,0,14,8,119.32,118.26,0.45,55,0.55,45,6,11,17,15,0,0,0,2,4,5
1098,18-19,Jul 29 2018,3,Randers,OB,1,0,1,0,7,14,115.78,111.81,0.65,35,0.35,65,12,8,12,14,0,0,2,0,7,1
1099,18-19,Jul 29 2018,3,Hobro,Brøndby,1,2,0,0,6,15,113.23,115.98,0.74,26,0.26,74,11,20,13,12,0,0,1,2,2,4
1100,18-19,Jul 29 2018,3,København,AaB,4,0,3,0,11,4,113.67,113.13,0.35,65,0.65,35,4,7,15,16,0,0,1,0,9,2
1101,18-19,Jul 30 2018,3,Vejle,AGF,1,1,0,0,14,14,114.87,112.7,0.43,57,0.57,43,13,11,9,14,0,0,3,2,7,6
1102,18-19,Aug 03 2018,4,AGF,Sønderjyske,1,0,1,0,14,20,118.25,116.44,0.58,42,0.42,58,12,14,10,19,0,0,1,5,3,4
1103,18-19,Aug 04 2018,4,Esbjerg,Randers,3,3,2,0,6,12,119.68,118.13,0.52,48,0.48,52,13,8,19,11,1,0,4,4,4,2
1104,18-19,Aug 04 2018,4,Vejle,Midtjylland,1,3,1,0,8,8,108.57,115.33,0.56,44,0.44,56,15,13,12,15,0,0,4,0,4,5
1105,18-19,Aug 05 2018,4,Horsens,Hobro,2,2,1,0,16,7,113.61,115.66,0.45,55,0.55,45,13,15,9,15,0,0,0,2,7,5
1106,18-19,Aug 05 2018,4,OB,København,0,1,0,0,10,14,119.83,119.06,0.62,38,0.38,62,8,8,17,15,0,0,1,2,8,3
1107,18-19,Aug 05 2018,4,Brøndby,Nordsjælland,2,0,1,0,19,4,116.82,116.31,0.52,48,0.48,52,15,7,13,12,0,0,1,1,5,0
1108,18-19,Aug 06 2018,4,Vendsyssel,AaB,0,1,0,0,18,9,119.82,116.65,0.48,52,0.52,48,12,14,14,13,1,0,3,5,13,1
1109,18-19,Aug 10 2018,5,Vendsyssel,Vejle,1,1,1,0,7,10,105.69,112.27,0.55,45,0.45,55,13,15,10,15,0,0,1,2,4,4
1110,18-19,Aug 11 2018,5,Hobro,OB,3,2,3,0,5,20,110.55,113.77,0.72,28,0.28,72,10,6,13,20,0,0,4,1,9,8
1111,18-19,Aug 12 2018,5,AaB,Nordsjælland,1,0,0,0,8,13,120.28,115.46,0.62,38,0.38,62,11,13,16,16,1,0,1,3,1,1
1112,18-19,Aug 12 2018,5,København,Brøndby,3,1,1,0,13,10,113.31,111.75,0.43,57,0.57,43,11,22,10,8,0,0,2,6,5,3
1113,18-19,Aug 12 2018,5,Randers,AGF,0,0,0,0,10,5,114.56,108.8,0.51,49,0.49,51,15,11,10,14,0,0,2,0,3,0
1114,18-19,Aug 12 2018,5,Midtjylland,Horsens,3,0,1,0,20,8,108.12,107.99,0.39,61,0.61,39,11,15,16,11,0,1,1,2,3,6
1115,18-19,Aug 13 2018,5,Esbjerg,Sønderjyske,1,0,0,0,14,9,118.57,120.39,0.54,46,0.46,54,11,11,14,10,0,0,1,2,6,4
1116,18-19,Aug 17 2018,6,Sønderjyske,Vendsyssel,2,1,0,0,12,10,117.18,118.87,0.62,38,0.38,62,12,6,12,18,0,0,2,1,6,3
1117,18-19,Aug 19 2018,6,Nordsjælland,Vejle,2,0,1,0,11,3,108.46,109.05,0.53,47,0.47,53,9,10,15,15,0,0,2,4,1,6
1118,18-19,Aug 19 2018,6,Randers,Hobro,3,0,2,0,17,13,113.85,109.06,0.53,47,0.47,53,18,10,20,7,0,0,1,3,7,3
1119,18-19,Aug 19 2018,6,AGF,København,1,1,1,0,5,11,113.57,111.14,0.47,53,0.53,47,14,10,11,15,0,0,1,0,4,6
1120,18-19,Aug 19 2018,6,Brøndby,Esbjerg,0,1,0,0,16,11,106.68,107.32,0.4,60,0.6,40,17,9,9,11,0,0,2,4,2,9
1121,18-19,Aug 19 2018,6,OB,Midtjylland,1,1,0,0,11,7,107.82,113.4,0.58,42,0.42,58,11,11,16,9,0,0,0,1,2,7
1122,18-19,Aug 20 2018,6,Horsens,AaB,0,0,0,0,7,8,110.81,108.66,0.51,49,0.49,51,12,15,20,18,0,0,3,1,3,6
1123,18-19,Aug 24 2018,7,Hobro,AGF,0,2,0,1,19,10,124.56,121.79,0.44,56,0.56,44,13,12,15,5,0,0,1,2,3,2
1124,18-19,Aug 26 2018,7,Nordsjælland,Horsens,0,1,0,1,15,6,115.32,118.73,0.43,57,0.57,43,14,20,14,13,0,0,0,1,12,1
1125,18-19,Aug 26 2018,7,Vejle,OB,0,2,0,2,10,17,115.21,113.54,0.42,58,0.58,42,13,12,11,13,0,0,1,0,5,2
1126,18-19,Aug 26 2018,7,Vendsyssel,Brøndby,1,2,0,1,11,10,121.02,118.76,0.62,38,0.38,62,6,10,12,12,0,1,1,3,4,3
1127,18-19,Aug 26 2018,7,København,Sønderjyske,3,2,2,1,14,13,108.55,114.45,0.4,60,0.6,40,10,16,7,11,0,0,1,4,3,2
1128,18-19,Aug 26 2018,7,Midtjylland,Randers,3,0,1,0,13,4,114.88,113.78,0.45,55,0.55,45,11,6,15,7,0,0,1,0,4,8
1129,18-19,Aug 27 2018,7,AaB,Esbjerg,0,1,0,0,15,7,109.52,109.67,0.45,55,0.55,45,8,11,15,14,0,0,3,4,5,11
1130,18-19,Aug 31 2018,8,Horsens,Vejle,0,0,0,0,8,8,118.77,115.96,0.52,48,0.48,52,10,13,10,10,0,0,2,2,6,6
1131,18-19,Sep 01 2018,8,Sønderjyske,Hobro,1,1,1,0,10,7,122.46,122.64,0.48,52,0.52,48,16,9,16,16,0,0,2,0,7,3
1132,18-19,Sep 02 2018,8,OB,Nordsjælland,0,0,0,0,8,6,114.64,110.87,0.6,40,0.4,60,7,5,23,13,0,0,1,2,11,0
1133,18-19,Sep 02 2018,8,Randers,AaB,2,2,2,1,11,8,111.32,110.95,0.57,43,0.43,57,13,9,10,20,0,0,2,1,7,4
1134,18-19,Sep 02 2018,8,Esbjerg,København,0,2,0,2,5,6,116.09,114.5,0.57,43,0.43,57,16,8,16,7,0,0,1,0,8,4
1135,18-19,Sep 02 2018,8,AGF,Vendsyssel,1,1,1,1,10,6,111.87,112.57,0.4,60,0.6,40,11,10,23,12,0,0,0,2,4,2
1136,18-19,Sep 02 2018,8,Brøndby,Midtjylland,2,2,1,1,13,7,118.26,123.6,0.34,66,0.66,34,9,10,13,15,0,1,1,3,6,4
1137,18-19,Sep 14 2018,9,Esbjerg,OB,2,0,1,0,11,17,115.07,111.56,0.61,39,0.39,61,14,6,12,12,0,0,4,0,2,9
1138,18-19,Sep 15 2018,9,Nordsjælland,Randers,4,1,2,0,12,12,111.69,113.48,0.51,49,0.49,51,7,18,20,16,0,0,0,1,3,1
1139,18-19,Sep 16 2018,9,Vendsyssel,Hobro,1,1,1,1,9,11,114.88,114.54,0.42,58,0.58,42,11,15,17,11,0,0,1,3,4,5
1140,18-19,Sep 16 2018,9,Horsens,AGF,3,2,3,1,13,14,118.79,116.04,0.59,41,0.41,59,11,15,12,9,0,1,1,2,2,7
1141,18-19,Sep 16 2018,9,Brøndby,Sønderjyske,2,4,2,2,14,14,102.65,104.34,0.34,66,0.66,34,9,16,24,19,0,0,1,2,4,7
1142,18-19,Sep 16 2018,9,Midtjylland,København,3,1,1,0,11,7,115.72,113.81,0.59,41,0.41,59,23,11,14,10,0,0,1,3,10,4
