index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,a_possession,h_possession (in percent),h_possession,a_possession (in percent),h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
1017,17-18,26,Lyngby,Horsens,1,1,0,0,11,14,115.33,115.62,380,518,288,421,92,97,0.76,0.81,0.39,61,0.61,39,0.4,0.6,6,13,17,22,1,3,3,6
1018,17-18,26,Silkeborg,København,1,3,1,2,8,17,117.96,116.85,498,450,366,361,132,89,0.73,0.8,0.6,40,0.4,60,0.49,0.51,14,7,13,10,1,5,4,5
1019,17-18,26,Randers,OB,4,1,0,1,14,14,114.55,119.88,493,602,411,519,82,83,0.83,0.86,0.58,42,0.42,58,0.52,0.48,10,5,17,7,4,2,2,6
1020,17-18,1,Silkeborg,FC Helsingør,2,3,2,1,18,12,109.16,109.77,568,327,482,230,86,97,0.85,0.7,0.39,61,0.61,39,0.5,0.5,11,9,15,13,0,1,3,5
1021,17-18,1,Hobro,AGF,1,3,1,0,11,11,118.26,115.52,387,378,270,250,117,128,0.7,0.66,0.5,50,0.5,50,0.41,0.59,16,15,9,17,3,1,5,3
1022,17-18,1,Randers,Lyngby,2,0,2,0,16,6,118.62,117.08,345,545,243,436,102,109,0.7,0.8,0.46,54,0.54,46,0.47,0.53,15,10,18,12,2,0,4,5
1023,17-18,1,OB,SønderjyskE,2,1,2,0,12,11,117.03,113.64,276,607,166,484,110,123,0.6,0.8,0.53,47,0.47,53,0.43,0.57,6,13,11,18,4,5,4,5
1024,17-18,1,København,Nordsjælland,2,1,0,1,19,12,114.73,118.02,593,463,489,375,104,88,0.82,0.81,0.4,60,0.6,40,0.5,0.5,5,7,11,8,3,1,6,3
1025,17-18,1,AaB,Brøndby,0,3,0,3,10,8,117,114.39,630,308,554,218,76,90,0.88,0.71,0.5,50,0.5,50,0.54,0.46,3,11,12,8,2,3,5,6
1026,17-18,1,Horsens,Midtjylland,0,1,0,0,5,6,109.56,112.62,547,295,423,193,124,102,0.77,0.65,0.52,48,0.48,52,0.51,0.49,11,15,18,12,2,3,5,3
1027,17-18,2,Nordsjælland,AaB,3,1,2,1,13,10,117.12,112.88,266,731,177,638,89,93,0.67,0.87,0.5,50,0.5,50,0.4,0.6,18,6,12,11,6,3,1,5
1028,17-18,2,Lyngby,OB,2,2,1,0,6,17,105.93,107.43,793,423,695,325,98,98,0.88,0.77,0.62,38,0.38,62,0.55,0.45,11,6,7,10,1,3,9,3
1029,17-18,2,FC Helsingør,Hobro,0,1,0,0,14,17,115.82,123.43,676,325,553,189,123,136,0.82,0.58,0.39,61,0.61,39,0.55,0.45,12,12,10,10,3,1,4,3
1030,17-18,2,SønderjyskE,Randers,1,0,1,0,5,13,117.29,112.37,322,644,213,536,109,108,0.66,0.83,0.58,42,0.42,58,0.43,0.57,11,13,8,19,0,1,0,2
1031,17-18,2,Brøndby,Horsens,5,1,3,0,15,7,112.55,116.21,404,431,291,317,113,114,0.72,0.74,0.47,53,0.53,47,0.46,0.54,12,15,13,18,1,2,3,4
1032,17-18,2,AGF,Silkeborg,2,1,1,0,13,8,117.01,110.94,686,437,600,363,86,74,0.87,0.83,0.47,53,0.53,47,0.47,0.53,10,13,10,14,0,3,3,4
1033,17-18,2,Midtjylland,København,3,2,0,1,15,19,115.02,113.97,371,420,270,296,101,124,0.73,0.7,0.61,39,0.39,61,0.51,0.49,12,7,19,15,4,5,8,5
1034,17-18,3,AGF,FC Helsingør,2,1,1,0,13,10,110.82,116.08,379,320,250,208,129,112,0.66,0.65,0.52,48,0.48,52,0.58,0.42,5,10,24,16,4,1,1,4
1035,17-18,3,SønderjyskE,Lyngby,1,0,0,0,17,10,108.85,112.56,343,524,248,417,95,107,0.72,0.8,0.58,42,0.42,58,0.49,0.51,8,12,12,11,4,2,5,2
1036,17-18,3,OB,Randers,3,0,1,0,17,12,107.77,108.89,340,474,263,396,77,78,0.77,0.84,0.48,52,0.52,48,0.38,0.62,9,13,17,27,2,6,11,2
1037,17-18,3,AaB,Horsens,2,0,0,0,8,8,112.58,114.78,717,332,637,249,80,83,0.89,0.75,0.49,51,0.51,49,0.45,0.55,11,17,4,12,1,0,10,2
1038,17-18,3,Brøndby,København,2,1,0,1,22,13,104.78,107.25,228,609,141,494,87,115,0.62,0.81,0.43,57,0.57,43,0.48,0.52,8,15,18,25,5,1,1,6
1039,17-18,3,Nordsjælland,Midtjylland,1,2,0,1,14,5,104.94,100.78,271,407,176,287,95,120,0.65,0.71,0.47,53,0.53,47,0.55,0.45,15,14,16,15,2,3,3,5
1040,17-18,3,Hobro,Silkeborg,1,0,1,0,15,7,116.32,116.44,260,594,109,442,151,152,0.42,0.74,0.52,48,0.48,52,0.44,0.56,12,15,15,19,2,2,3,4
1041,17-18,4,FC Helsingør,AGF,1,0,1,0,18,12,121.09,114.28,545,305,436,200,109,105,0.8,0.66,0.52,48,0.48,52,0.48,0.52,11,5,9,11,1,3,6,5
1042,17-18,4,Randers,OB,1,1,0,0,14,16,114.93,112.76,508,361,406,278,102,83,0.8,0.77,0.56,44,0.44,56,0.47,0.53,12,8,13,17,2,5,5,1
1043,17-18,4,Horsens,Nordsjælland,2,2,1,1,15,11,116.85,117.81,534,414,410,302,124,112,0.77,0.73,0.56,44,0.44,56,0.55,0.45,13,8,15,13,1,3,4,1
1044,17-18,4,København,AaB,2,1,1,1,15,9,108.83,113.51,290,675,201,580,89,95,0.69,0.86,0.42,58,0.58,42,0.45,0.55,6,16,15,10,2,1,4,3
1045,17-18,4,Silkeborg,Hobro,2,0,0,0,18,14,107.7,101.79,455,393,367,301,88,92,0.81,0.77,0.37,63,0.63,37,0.55,0.45,11,8,17,22,4,1,2,4
1046,17-18,4,Lyngby,SønderjyskE,1,1,0,0,7,15,124.64,128.61,622,341,507,213,115,128,0.82,0.62,0.55,45,0.45,55,0.44,0.56,12,12,9,11,4,0,9,1
1047,17-18,4,Midtjylland,Brøndby,2,3,2,1,12,16,113.39,113.27,402,307,296,191,106,116,0.74,0.62,0.62,38,0.38,62,0.45,0.55,18,8,14,11,5,1,6,6
1048,17-18,5,København,Horsens,4,1,3,0,16,18,114.55,113.5,464,689,369,590,95,99,0.8,0.86,0.48,52,0.52,48,0.47,0.53,6,10,12,16,0,1,3,0
1049,17-18,5,FC Helsingør,Silkeborg,0,0,0,0,4,8,108.81,106.88,417,367,315,259,102,108,0.76,0.71,0.51,49,0.49,51,0.4,0.6,12,8,17,16,2,3,4,5
1050,17-18,5,OB,Lyngby,3,0,2,0,19,9,113.26,106.82,602,342,488,208,114,134,0.81,0.61,0.44,56,0.56,44,0.58,0.42,12,15,14,10,2,0,9,1
1051,17-18,5,AaB,Midtjylland,3,3,2,1,9,17,116.87,115.27,332,537,244,434,88,103,0.73,0.81,0.57,43,0.43,57,0.55,0.45,12,14,17,17,4,3,4,2
1052,17-18,5,Randers,SønderjyskE,3,0,2,0,13,6,115.94,108.51,211,828,129,742,82,86,0.61,0.9,0.48,52,0.52,48,0.51,0.49,16,7,10,16,2,1,3,1
1053,17-18,5,Nordsjælland,Brøndby,3,4,1,3,18,23,108.42,115.52,546,352,382,217,164,135,0.7,0.62,0.44,56,0.56,44,0.48,0.52,6,6,15,16,6,4,1,4
1054,17-18,5,AGF,Hobro,0,1,0,0,16,20,110.62,112.72,737,257,642,172,95,85,0.87,0.67,0.47,53,0.53,47,0.56,0.44,9,5,19,10,1,3,6,2
1055,17-18,6,Horsens,København,2,3,1,2,11,14,117.68,121.45,601,390,498,309,103,81,0.83,0.79,0.54,46,0.46,54,0.46,0.54,19,7,17,18,0,0,5,6
1056,17-18,6,SønderjyskE,OB,2,0,0,0,8,13,118.68,119.7,381,478,250,333,131,145,0.66,0.7,0.6,40,0.4,60,0.49,0.51,9,6,9,13,3,6,4,5
1057,17-18,6,Lyngby,Randers,1,3,0,1,9,10,115.85,109.81,452,346,340,238,112,108,0.75,0.69,0.42,58,0.58,42,0.54,0.46,7,11,8,13,1,5,6,6
1058,17-18,6,Midtjylland,AaB,3,0,2,0,18,7,109.01,109.17,785,253,697,166,88,87,0.89,0.66,0.36,64,0.64,36,0.55,0.45,10,7,12,12,4,1,9,4
1059,17-18,6,Brøndby,Nordsjælland,3,1,1,1,16,12,112.63,110.72,615,313,508,204,107,109,0.83,0.65,0.51,49,0.49,51,0.51,0.49,12,6,14,13,0,3,6,4
1060,17-18,6,Hobro,FC Helsingør,4,1,2,1,17,15,106.15,109.26,411,503,298,404,113,99,0.73,0.8,0.48,52,0.52,48,0.59,0.41,11,13,14,6,1,1,4,5
1061,17-18,6,Silkeborg,AGF,2,5,1,3,11,19,119.44,122.15,439,401,299,247,140,154,0.68,0.62,0.49,51,0.51,49,0.51,0.49,7,9,12,16,2,2,6,3
1062,17-18,7,Horsens,AaB,2,1,0,1,12,7,119.48,115.69,651,411,564,328,87,83,0.87,0.8,0.5,50,0.5,50,0.5,0.5,14,10,18,11,1,1,5,9
1063,17-18,7,AGF,OB,3,2,1,2,9,16,125.53,117.11,297,882,181,763,116,119,0.61,0.87,0.61,39,0.39,61,0.44,0.56,15,8,7,7,1,3,1,11
1064,17-18,7,København,Brøndby,1,1,1,1,13,11,116.18,112.29,456,430,304,254,152,176,0.67,0.59,0.4,60,0.6,40,0.47,0.53,10,11,16,11,6,1,7,3
1065,17-18,7,SønderjyskE,Hobro,1,0,0,0,14,11,108.41,104.72,604,223,503,135,101,88,0.83,0.61,0.51,49,0.49,51,0.47,0.53,16,9,22,15,0,0,5,3
1066,17-18,7,Midtjylland,Nordsjælland,2,1,1,0,12,13,109.94,113.51,453,506,362,413,91,93,0.8,0.82,0.57,43,0.43,57,0.51,0.49,12,7,12,16,1,1,4,4
1067,17-18,8,Nordsjælland,Horsens,2,1,1,0,12,17,109.55,115.45,342,494,220,367,122,127,0.64,0.74,0.51,49,0.49,51,0.44,0.56,12,11,12,16,5,4,3,5
1068,17-18,8,Hobro,SønderjyskE,3,2,0,1,15,9,110.4,109.63,282,555,171,443,111,112,0.61,0.8,0.43,57,0.57,43,0.5,0.5,9,14,15,11,1,2,4,6
1069,17-18,8,OB,AGF,2,3,0,1,21,7,110.44,99.54,585,234,477,116,108,118,0.82,0.5,0.3,70,0.7,30,0.63,0.37,9,17,14,8,5,0,3,3
1070,17-18,8,AaB,København,1,0,0,0,8,9,112.63,110.49,529,434,423,325,106,109,0.8,0.75,0.54,46,0.46,54,0.49,0.51,16,5,13,13,1,4,7,3
1071,17-18,8,Brøndby,Midtjylland,0,1,0,0,13,11,117.41,110.1,401,515,293,407,108,108,0.73,0.79,0.46,54,0.54,46,0.46,0.54,10,13,10,11,0,3,5,5
1072,17-18,9,København,Midtjylland,0,2,0,1,15,5,115.26,114.91,405,379,256,235,149,144,0.63,0.62,0.3,70,0.7,30,0.44,0.56,6,19,17,18,7,1,3,2
1073,17-18,9,AaB,Nordsjælland,0,0,0,0,5,7,114.65,117.59,608,353,490,259,118,94,0.81,0.73,0.47,53,0.53,47,0.6,0.4,9,16,17,12,0,1,5,6
1074,17-18,9,Horsens,Brøndby,2,2,0,2,14,21,117.69,114.48,367,429,181,267,186,162,0.49,0.62,0.54,46,0.46,54,0.5,0.5,12,10,18,12,1,0,1,6
1075,17-18,9,AGF,SønderjyskE,2,2,1,0,18,8,115.77,112.32,353,602,249,503,104,99,0.71,0.84,0.46,54,0.54,46,0.5,0.5,6,15,16,17,3,2,2,7
1076,17-18,10,Brøndby,AaB,1,1,0,1,19,12,110.91,110.8,319,433,216,335,103,98,0.68,0.77,0.37,63,0.63,37,0.44,0.56,9,14,20,22,4,1,3,4
1077,17-18,10,Nordsjælland,København,0,0,0,0,7,18,115.3,111.48,547,371,439,244,108,127,0.8,0.66,0.65,35,0.35,65,0.51,0.49,11,5,16,17,6,1,7,4
1078,17-18,10,Midtjylland,Horsens,1,0,0,0,12,7,115.07,119.83,573,397,462,290,111,107,0.81,0.73,0.49,51,0.51,49,0.51,0.49,9,21,8,11,0,1,9,5
1079,17-18,10,SønderjyskE,AGF,0,2,0,1,19,10,115.8,111.35,376,608,257,483,119,125,0.68,0.79,0.42,58,0.58,42,0.53,0.47,11,14,18,11,2,3,6,4
1080,17-18,10,København,AGF,4,1,2,1,11,10,115.75,110.08,326,529,200,387,126,142,0.61,0.73,0.41,59,0.59,41,0.52,0.48,7,8,13,13,3,3,2,4
1081,18-19,1,Vejle,Hobro,3,1,0,0,13,12,113.01,110.86,286,455,160,320,126,135,0.56,0.7,0.44,56,0.56,44,0.54,0.46,16,12,22,13,5,1,4,3
1082,18-19,1,SønderjyskE,AaB,0,1,0,0,12,10,110.44,117.22,600,398,501,316,99,82,0.84,0.79,0.5,50,0.5,50,0.49,0.51,16,14,14,14,3,4,9,3
1083,18-19,1,Midtjylland,AGF,0,0,0,0,11,9,120.93,122.66,486,523,384,418,102,105,0.79,0.8,0.38,62,0.62,38,0.54,0.46,14,9,10,9,0,1,3,8
1084,18-19,1,Nordsjælland,Esbjerg,1,1,1,0,14,8,114.23,116.84,453,398,296,245,157,153,0.65,0.62,0.42,58,0.58,42,0.49,0.51,8,12,19,14,0,3,1,3
1085,18-19,1,Vendsyssel,OB,3,2,0,0,7,12,109.45,109.21,368,430,278,331,90,99,0.76,0.77,0.58,42,0.42,58,0.55,0.45,14,12,19,14,2,2,6,6
1086,18-19,1,København,Horsens,1,2,0,0,14,6,115.99,113.35,505,375,416,292,89,83,0.82,0.78,0.35,65,0.65,35,0.59,0.41,9,24,12,13,1,0,3,6
1087,18-19,1,Randers,Brøndby,0,2,0,1,7,10,108.67,111.79,450,357,306,231,144,126,0.68,0.65,0.54,46,0.46,54,0.54,0.46,13,10,17,15,5,4,5,2
1088,18-19,2,AaB,Midtjylland,2,1,0,1,5,7,113.39,110.08,345,526,247,410,98,116,0.72,0.78,0.58,42,0.42,58,0.5,0.5,10,19,12,13,0,0,2,4
1089,18-19,2,Esbjerg,Vendsyssel,2,3,0,2,17,11,111.55,111.47,596,244,516,147,80,97,0.87,0.6,0.45,55,0.55,45,0.49,0.51,8,7,16,6,2,3,8,2
1090,18-19,2,Horsens,Randers,1,1,0,1,8,7,122.31,119.34,414,445,294,330,120,115,0.71,0.74,0.37,63,0.63,37,0.46,0.54,7,9,13,9,1,0,6,2
1091,18-19,2,OB,SønderjyskE,2,2,0,2,16,10,114.38,112.83,451,459,340,343,111,116,0.75,0.75,0.42,58,0.58,42,0.5,0.5,8,14,10,9,3,2,7,6
1092,18-19,2,AGF,Nordsjælland,1,1,0,1,13,11,117.27,113.07,304,725,175,583,129,142,0.58,0.8,0.53,47,0.47,53,0.51,0.49,5,6,14,15,1,4,2,4
1093,18-19,2,Brøndby,Vejle,1,1,1,1,10,11,115.47,119.57,600,397,498,293,102,104,0.83,0.74,0.4,60,0.6,40,0.56,0.44,4,11,17,16,1,4,9,3
1094,18-19,2,Hobro,København,0,3,0,1,7,13,116.79,112.06,302,557,213,453,89,104,0.71,0.81,0.68,32,0.32,68,0.54,0.46,11,9,20,9,3,2,0,12
1095,18-19,3,SønderjyskE,Horsens,2,0,0,0,9,10,108.06,110.55,572,270,421,130,151,140,0.74,0.48,0.4,60,0.6,40,0.58,0.42,12,13,17,9,4,5,3,6
1096,18-19,3,Midtjylland,Esbjerg,3,1,2,1,14,7,115.79,112.22,573,440,484,333,89,107,0.84,0.76,0.58,42,0.42,58,0.49,0.51,16,17,15,20,3,2,2,2
1097,18-19,3,Nordsjælland,Vendsyssel,3,0,1,0,14,8,119.32,118.26,347,607,260,504,87,103,0.75,0.83,0.45,55,0.55,45,0.49,0.51,6,11,17,15,2,3,4,5
1098,18-19,3,Randers,OB,1,0,1,0,7,14,115.78,111.81,536,379,401,266,135,113,0.75,0.7,0.65,35,0.35,65,0.38,0.62,12,8,12,14,0,4,7,1
1099,18-19,3,Hobro,Brøndby,1,2,0,0,6,15,113.23,115.98,441,429,324,312,117,117,0.73,0.73,0.74,26,0.26,74,0.48,0.52,11,20,13,12,3,1,2,4
1100,18-19,3,København,AaB,4,0,3,0,11,4,113.67,113.13,570,355,489,273,81,82,0.86,0.77,0.35,65,0.65,35,0.56,0.44,4,7,15,16,6,2,9,2
1101,18-19,3,Vejle,AGF,1,1,0,0,14,14,114.87,112.7,490,291,385,189,105,102,0.79,0.65,0.43,57,0.57,43,0.49,0.51,13,11,9,14,3,0,7,6
1102,18-19,4,AGF,SønderjyskE,1,0,1,0,14,20,118.25,116.44,291,722,202,634,89,88,0.69,0.88,0.58,42,0.42,58,0.46,0.54,12,14,10,19,3,4,3,4
1103,18-19,4,Esbjerg,Randers,3,3,2,0,6,12,119.68,118.13,552,389,472,307,80,82,0.86,0.79,0.52,48,0.48,52,0.5,0.5,13,8,19,11,3,2,4,2
1104,18-19,4,Vejle,Midtjylland,1,3,1,0,8,8,108.57,115.33,407,395,277,273,130,122,0.68,0.69,0.56,44,0.44,56,0.47,0.53,15,13,12,15,4,3,4,5
1105,18-19,4,Horsens,Hobro,2,2,1,0,16,7,113.61,115.66,402,441,265,315,137,126,0.66,0.71,0.45,55,0.55,45,0.45,0.55,13,15,9,15,3,2,7,5
1106,18-19,4,OB,København,0,1,0,0,10,14,119.83,119.06,511,375,376,252,135,123,0.74,0.67,0.62,38,0.38,62,0.54,0.46,8,8,17,15,7,7,8,3
1107,18-19,4,Brøndby,Nordsjælland,2,0,1,0,19,4,116.82,116.31,481,488,386,391,95,97,0.8,0.8,0.52,48,0.48,52,0.46,0.54,15,7,13,12,7,1,5,0
1108,18-19,4,Vendsyssel,AaB,0,1,0,0,18,9,119.82,116.65,657,270,554,176,103,94,0.84,0.65,0.48,52,0.52,48,0.51,0.49,12,14,14,13,1,0,13,1
1109,18-19,5,Vendsyssel,Vejle,1,1,1,0,7,10,105.69,112.27,749,298,672,210,77,88,0.9,0.7,0.55,45,0.45,55,0.48,0.52,13,15,10,15,2,2,4,4
1110,18-19,5,Hobro,OB,3,2,3,0,5,20,110.55,113.77,422,248,291,117,131,131,0.69,0.47,0.72,28,0.28,72,0.51,0.49,10,6,13,20,0,4,9,8
1111,18-19,5,AaB,Nordsjælland,1,0,0,0,8,13,120.28,115.46,481,392,371,285,110,107,0.77,0.73,0.62,38,0.38,62,0.47,0.53,11,13,16,16,1,2,1,1
1112,18-19,5,København,Brøndby,3,1,1,0,13,10,113.31,111.75,342,615,226,506,116,109,0.66,0.82,0.43,57,0.57,43,0.47,0.53,11,22,10,8,3,2,5,3
1113,18-19,5,Randers,AGF,0,0,0,0,10,5,114.56,108.8,544,492,389,348,155,144,0.72,0.71,0.51,49,0.49,51,0.52,0.48,15,11,10,14,3,1,3,0
1114,18-19,5,Midtjylland,Horsens,3,0,1,0,20,8,108.12,107.99,515,378,402,274,113,104,0.78,0.72,0.39,61,0.61,39,0.5,0.5,11,15,16,11,4,2,3,6
1115,18-19,5,Esbjerg,SønderjyskE,1,0,0,0,14,9,118.57,120.39,455,429,348,316,107,113,0.76,0.74,0.54,46,0.46,54,0.5,0.5,11,11,14,10,2,4,6,4
1116,18-19,6,SønderjyskE,Vendsyssel,2,1,0,0,12,10,117.18,118.87,413,619,341,535,72,84,0.83,0.86,0.62,38,0.38,62,0.49,0.51,12,6,12,18,2,2,6,3
1117,18-19,6,Nordsjælland,Vejle,2,0,1,0,11,3,108.46,109.05,284,570,159,428,125,142,0.56,0.75,0.53,47,0.47,53,0.51,0.49,9,10,15,15,7,5,1,6
1118,18-19,6,Randers,Hobro,3,0,2,0,17,13,113.85,109.06,463,394,363,299,100,95,0.78,0.76,0.53,47,0.47,53,0.59,0.41,18,10,20,7,2,2,7,3
1119,18-19,6,AGF,København,1,1,1,0,5,11,113.57,111.14,305,509,212,412,93,97,0.7,0.81,0.47,53,0.53,47,0.5,0.5,14,10,11,15,0,0,4,6
1120,18-19,6,Brøndby,Esbjerg,0,1,0,0,16,11,106.68,107.32,244,746,174,666,70,80,0.71,0.89,0.4,60,0.6,40,0.44,0.56,17,9,9,11,1,1,2,9
1121,18-19,6,OB,Midtjylland,1,1,0,0,11,7,107.82,113.4,295,396,223,320,72,76,0.76,0.81,0.58,42,0.42,58,0.53,0.47,11,11,16,9,1,2,2,7
1122,18-19,6,Horsens,AaB,0,0,0,0,7,8,110.81,108.66,489,332,382,222,107,110,0.78,0.67,0.51,49,0.49,51,0.56,0.44,12,15,20,18,5,3,3,6
1123,18-19,7,Hobro,AGF,0,2,0,1,19,10,124.56,121.79,425,649,343,577,82,72,0.81,0.89,0.44,56,0.56,44,0.59,0.41,13,12,15,5,4,5,3,2
1124,18-19,7,Nordsjælland,Horsens,0,1,0,1,15,6,115.32,118.73,367,444,256,336,111,108,0.7,0.76,0.43,57,0.57,43,0.54,0.46,14,20,14,13,3,3,12,1
1125,18-19,7,Vejle,OB,0,2,0,2,10,17,115.21,113.54,390,546,267,418,123,128,0.68,0.77,0.42,58,0.58,42,0.49,0.51,13,12,11,13,3,2,5,2
1126,18-19,7,Vendsyssel,Brøndby,1,2,0,1,11,10,121.02,118.76,600,545,502,456,98,89,0.84,0.84,0.62,38,0.38,62,0.49,0.51,6,10,12,12,0,5,4,3
1127,18-19,7,København,SønderjyskE,3,2,2,1,14,13,108.55,114.45,681,275,591,181,90,94,0.87,0.66,0.4,60,0.6,40,0.56,0.44,10,16,7,11,4,1,3,2
1128,18-19,7,Midtjylland,Randers,3,0,1,0,13,4,114.88,113.78,299,655,216,571,83,84,0.72,0.87,0.45,55,0.55,45,0.57,0.43,11,6,15,7,2,2,4,8
1129,18-19,7,AaB,Esbjerg,0,1,0,0,15,7,109.52,109.67,290,394,193,295,97,99,0.67,0.75,0.45,55,0.55,45,0.54,0.46,8,11,15,14,1,1,5,11
1130,18-19,8,Horsens,Vejle,0,0,0,0,8,8,118.77,115.96,407,599,309,500,98,99,0.76,0.83,0.52,48,0.48,52,0.48,0.52,10,13,10,10,6,1,6,6
1131,18-19,8,SønderjyskE,Hobro,1,1,1,0,10,7,122.46,122.64,509,381,391,256,118,125,0.77,0.67,0.48,52,0.52,48,0.46,0.54,16,9,16,16,3,4,7,3
1132,18-19,8,OB,Nordsjælland,0,0,0,0,8,6,114.64,110.87,401,322,271,198,130,124,0.68,0.61,0.6,40,0.4,60,0.54,0.46,7,5,23,13,1,1,11,0
1133,18-19,8,Randers,AaB,2,2,2,1,11,8,111.32,110.95,556,277,473,189,83,88,0.85,0.68,0.57,43,0.43,57,0.54,0.46,13,9,10,20,0,2,7,4
1134,18-19,8,Esbjerg,København,0,2,0,2,5,6,116.09,114.5,359,417,230,289,129,128,0.64,0.69,0.57,43,0.43,57,0.52,0.48,16,8,16,7,5,1,8,4
1135,18-19,8,AGF,Vendsyssel,1,1,1,1,10,6,111.87,112.57,426,343,291,208,135,135,0.68,0.61,0.4,60,0.6,40,0.61,0.39,11,10,23,12,1,4,4,2
1136,18-19,8,Brøndby,Midtjylland,2,2,1,1,13,7,118.26,123.6,514,375,424,271,90,104,0.82,0.72,0.34,66,0.66,34,0.53,0.47,9,10,13,15,0,1,6,4
1137,18-19,9,Esbjerg,OB,2,0,1,0,11,17,115.07,111.56,292,679,202,579,90,100,0.69,0.85,0.61,39,0.39,61,0.51,0.49,14,6,12,12,1,1,2,9
1138,18-19,9,Nordsjælland,Randers,4,1,2,0,12,12,111.69,113.48,410,415,294,289,116,126,0.72,0.7,0.51,49,0.49,51,0.52,0.48,7,18,20,16,1,0,3,1
1139,18-19,9,Vendsyssel,Hobro,1,1,1,1,9,11,114.88,114.54,394,499,255,354,139,145,0.65,0.71,0.42,58,0.58,42,0.53,0.47,11,15,17,11,1,4,4,5
1140,18-19,9,Horsens,AGF,3,2,3,1,13,14,118.79,116.04,638,365,559,285,79,80,0.88,0.78,0.59,41,0.41,59,0.49,0.51,11,15,12,9,0,3,2,7
1141,18-19,9,Brøndby,SønderjyskE,2,4,2,2,14,14,102.65,104.34,319,301,183,153,136,148,0.57,0.51,0.34,66,0.66,34,0.48,0.52,9,16,24,19,2,1,4,7
1142,18-19,9,Midtjylland,København,3,1,1,0,11,7,115.72,113.81,395,388,286,280,109,108,0.72,0.72,0.59,41,0.41,59,0.5,0.5,23,11,14,10,2,0,10,4
1143,18-19,9,AaB,Vejle,1,1,1,0,11,13,120.35,112.22,346,782,264,708,82,74,0.76,0.91,0.48,52,0.52,48,0.5,0.5,8,9,11,5,2,4,5,4
1144,18-19,10,Vejle,Esbjerg,1,0,0,0,11,13,103.49,109.05,353,621,280,557,73,64,0.79,0.9,0.56,44,0.44,56,0.55,0.45,8,14,13,16,1,1,0,8
1145,18-19,10,Randers,Vendsyssel,2,0,0,0,13,12,111.56,111.62,822,284,742,204,80,80,0.9,0.72,0.46,54,0.54,46,0.57,0.43,17,8,8,6,3,1,5,1
1146,18-19,10,SønderjyskE,Midtjylland,0,0,0,0,5,12,111.56,112.7,368,502,286,407,82,95,0.78,0.81,0.54,46,0.46,54,0.45,0.55,14,13,16,13,6,2,9,4
1147,18-19,10,Hobro,AaB,0,5,0,2,6,18,109.23,107.33,379,354,236,223,143,131,0.62,0.63,0.61,39,0.39,61,0.45,0.55,5,13,13,18,4,2,5,1
1148,18-19,10,København,Nordsjælland,2,1,1,0,11,5,115.39,112.79,625,306,530,224,95,82,0.85,0.73,0.37,63,0.63,37,0.59,0.41,10,17,14,9,1,2,5,5
1149,18-19,10,AGF,Brøndby,3,2,2,1,8,16,108.03,105.68,531,349,439,251,92,98,0.83,0.72,0.61,39,0.39,61,0.52,0.48,12,11,15,11,3,2,10,4
1150,18-19,10,OB,Horsens,4,0,1,0,11,11,112.81,112.87,569,347,486,254,83,93,0.85,0.73,0.6,40,0.4,60,0.4,0.6,10,8,11,13,1,2,10,1
1151,18-19,11,Vejle,Randers,1,1,1,1,5,9,110.96,112.58,278,350,170,261,108,89,0.61,0.75,0.51,49,0.49,51,0.56,0.44,10,11,25,25,3,3,4,4
1152,18-19,11,Midtjylland,Hobro,5,2,4,0,20,9,113.56,116.18,326,417,234,314,92,103,0.72,0.75,0.3,70,0.7,30,0.5,0.5,7,3,14,17,1,1,2,10
1153,18-19,11,Vendsyssel,København,2,1,0,1,14,15,115.47,116.77,594,371,503,279,91,92,0.85,0.75,0.64,36,0.36,64,0.52,0.48,13,7,10,6,1,2,6,4
1154,18-19,11,Esbjerg,AGF,0,0,0,0,9,3,117.02,118.57,313,558,218,465,95,93,0.7,0.83,0.4,60,0.6,40,0.55,0.45,7,12,18,11,4,1,0,5
1155,18-19,11,AaB,OB,0,1,0,1,7,10,120.73,119.67,389,573,285,484,104,89,0.73,0.84,0.38,62,0.62,38,0.6,0.4,13,11,18,8,0,2,4,3
1156,18-19,11,Brøndby,Horsens,1,2,1,0,8,8,122.9,113.2,339,587,258,496,81,91,0.76,0.84,0.4,60,0.6,40,0.38,0.62,10,13,10,17,4,1,7,9
